208.195.192.5              12's Jungle Gym

208.48.198.3               12's Jungle Gym 2

216.223.22.173             Mega2K Dev

tank.debian.net            QF Mega2K

209.242.16.70              Biscuit MegaTF

24.112.105.208             Clan Arena

dsl0199.netquest.net       Clan Arena

12.14.241.193              TW CTF

163.11.44.207              nerf 

129.105.86.101             Intel Midwest TF

209.45.199.32              Z! Extreme Mega TF

209.16.199.9:27501         aXe TF 2.9

Z63.11.44.207              nerf
